Hierarchical_equality Compare Summary
checkpoint: models/hierarchical_equality_mlp_seed42.pt
seed: 42
device: cpu
requested_device: <auto>
target_vars: WX, YZ
pair_sizes: train=512, calibration=512, test=2048
factual_validation_exact_acc: 0.9987

GW
solver: epsilon_used=0.05, method=gw
selected soft matches:
WX: top_k=3, lambda=4.0, top_site=L0-d0, selection=(exact=0.6426, gold prob=0.6408), calibration=(exact=0.6426, gold prob=0.6408), test=(exact=0.6377, gold prob=0.6371)
YZ: top_k=16, lambda=3.75, top_site=L0-d0, selection=(exact=0.6055, gold prob=0.6029), calibration=(exact=0.6055, gold prob=0.6029), test=(exact=0.6050, gold prob=0.6049)

OT
solver: epsilon_used=0.05, method=ot
selected soft matches:
WX: top_k=10, lambda=4.0, top_site=L1-d21, selection=(exact=0.7617, gold prob=0.7600), calibration=(exact=0.7617, gold prob=0.7600), test=(exact=0.7388, gold prob=0.7382)
YZ: top_k=4, lambda=4.0, top_site=L0-d4, selection=(exact=0.7637, gold prob=0.7646), calibration=(exact=0.7637, gold prob=0.7646), test=(exact=0.7778, gold prob=0.7757)

FGW
solver: alpha=0.5, epsilon_used=0.05, method=fgw
selected soft matches:
WX: top_k=5, lambda=4.0, top_site=L0-d28, selection=(exact=0.7676, gold prob=0.7660), calibration=(exact=0.7676, gold prob=0.7660), test=(exact=0.7451, gold prob=0.7447)
YZ: top_k=15, lambda=4.0, top_site=L0-d0, selection=(exact=0.6250, gold prob=0.6252), calibration=(exact=0.6250, gold prob=0.6252), test=(exact=0.6343, gold prob=0.6340)

DAS
training: min_epochs=5, plateau_patience=2, plateau_rel_delta=0.01, type=plateau_on_train_loss
selected sites:
WX: site=L1-k16, layer=1, subspace_dim=16, epochs_ran=50, selection=(exact=0.9180, gold prob=0.9153), calibration=(exact=0.9180, gold prob=0.9153), test=(exact=0.8901, gold prob=0.8863)
YZ: site=L1-k32, layer=1, subspace_dim=32, epochs_ran=50, selection=(exact=0.9141, gold prob=0.9093), calibration=(exact=0.9141, gold prob=0.9093), test=(exact=0.8862, gold prob=0.8781)

Average Summary
DAS: exact_acc=0.8882, mean_true_class_prob=0.8822, runtime_s=16.01
FGW: exact_acc=0.6897, mean_true_class_prob=0.6893, runtime_s=6.72
GW: exact_acc=0.6213, mean_true_class_prob=0.6210, runtime_s=7.22
OT: exact_acc=0.7583, mean_true_class_prob=0.7570, runtime_s=7.28

------------------------------------------------------------------------

Candidate Sweeps

GW
calibration sweep:
WX:
WX [selected]: top_k=3, lambda=4, top_site=L0-d0, exact=0.6426, gold prob=0.6408
WX: top_k=1, lambda=0.25, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=1, lambda=0.5, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=1, lambda=0.75, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=1, lambda=1, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=1, lambda=1.25, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=1, lambda=1.5, top_site=L0-d0, exact=0.5312, gold prob=0.5311
WX: top_k=1, lambda=1.75, top_site=L0-d0, exact=0.5293, gold prob=0.5307
WX: top_k=1, lambda=2, top_site=L0-d0, exact=0.5312, gold prob=0.5316
WX: top_k=1, lambda=2.25, top_site=L0-d0, exact=0.5312, gold prob=0.5334
WX: top_k=1, lambda=2.5, top_site=L0-d0, exact=0.5371, gold prob=0.5359
WX: top_k=1, lambda=2.75, top_site=L0-d0, exact=0.5391, gold prob=0.5381
WX: top_k=1, lambda=3, top_site=L0-d0, exact=0.5391, gold prob=0.5406
WX: top_k=1, lambda=3.25, top_site=L0-d0, exact=0.5449, gold prob=0.5439
WX: top_k=1, lambda=3.5, top_site=L0-d0, exact=0.5469, gold prob=0.5445
WX: top_k=1, lambda=3.75, top_site=L0-d0, exact=0.5410, gold prob=0.5437
WX: top_k=1, lambda=4, top_site=L0-d0, exact=0.5449, gold prob=0.5442
WX: top_k=2, lambda=0.25, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=2, lambda=0.5, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=2, lambda=0.75, top_site=L0-d0, exact=0.5312, gold prob=0.5317
WX: top_k=2, lambda=1, top_site=L0-d0, exact=0.5332, gold prob=0.5335
WX: top_k=2, lambda=1.25, top_site=L0-d0, exact=0.5371, gold prob=0.5361
WX: top_k=2, lambda=1.5, top_site=L0-d0, exact=0.5371, gold prob=0.5391
WX: top_k=2, lambda=1.75, top_site=L0-d0, exact=0.5508, gold prob=0.5488
WX: top_k=2, lambda=2, top_site=L0-d0, exact=0.5566, gold prob=0.5561
WX: top_k=2, lambda=2.25, top_site=L0-d0, exact=0.5586, gold prob=0.5592
WX: top_k=2, lambda=2.5, top_site=L0-d0, exact=0.5625, gold prob=0.5631
WX: top_k=2, lambda=2.75, top_site=L0-d0, exact=0.5664, gold prob=0.5682
WX: top_k=2, lambda=3, top_site=L0-d0, exact=0.5801, gold prob=0.5749
WX: top_k=2, lambda=3.25, top_site=L0-d0, exact=0.5820, gold prob=0.5790
