Hierarchical_equality Compare Summary
checkpoint: models/hierarchical_equality_mlp_seed45.pt
seed: 45
device: cpu
requested_device: <auto>
target_vars: WX, YZ
pair_sizes: train=512, calibration=512, test=2048
factual_validation_exact_acc: 0.9987

GW
solver: epsilon_used=0.05, method=gw
selected soft matches:
WX: top_k=32, lambda=4.0, top_site=L3-d63, selection=(exact=0.5781, gold prob=0.5786), calibration=(exact=0.5781, gold prob=0.5786), test=(exact=0.5674, gold prob=0.5680)
YZ: top_k=2, lambda=4.0, top_site=L3-d63, selection=(exact=0.5469, gold prob=0.5467), calibration=(exact=0.5469, gold prob=0.5467), test=(exact=0.5127, gold prob=0.5120)

OT
solver: epsilon_used=0.05, method=ot
selected soft matches:
WX: top_k=9, lambda=4.0, top_site=L1-d22, selection=(exact=0.7109, gold prob=0.7122), calibration=(exact=0.7109, gold prob=0.7122), test=(exact=0.7163, gold prob=0.7157)
YZ: top_k=4, lambda=4.0, top_site=L0-d41, selection=(exact=0.7793, gold prob=0.7764), calibration=(exact=0.7793, gold prob=0.7764), test=(exact=0.7358, gold prob=0.7339)

FGW
solver: alpha=0.5, epsilon_used=0.05, method=fgw
selected soft matches:
WX: top_k=2, lambda=4.0, top_site=L0-d61, selection=(exact=0.4941, gold prob=0.4949), calibration=(exact=0.4941, gold prob=0.4949), test=(exact=0.5059, gold prob=0.5053)
YZ: top_k=47, lambda=4.0, top_site=L0-d0, selection=(exact=0.5488, gold prob=0.5433), calibration=(exact=0.5488, gold prob=0.5433), test=(exact=0.5186, gold prob=0.5197)

DAS
training: min_epochs=5, plateau_patience=2, plateau_rel_delta=0.01, type=plateau_on_train_loss
selected sites:
WX: site=L1-k32, layer=1, subspace_dim=32, epochs_ran=50, selection=(exact=0.8125, gold prob=0.8201), calibration=(exact=0.8125, gold prob=0.8201), test=(exact=0.8218, gold prob=0.8228)
YZ: site=L1-k32, layer=1, subspace_dim=32, epochs_ran=50, selection=(exact=0.8320, gold prob=0.8282), calibration=(exact=0.8320, gold prob=0.8282), test=(exact=0.8198, gold prob=0.8197)

Average Summary
DAS: exact_acc=0.8208, mean_true_class_prob=0.8213, runtime_s=17.39
FGW: exact_acc=0.5122, mean_true_class_prob=0.5125, runtime_s=7.56
GW: exact_acc=0.5400, mean_true_class_prob=0.5400, runtime_s=7.15
OT: exact_acc=0.7261, mean_true_class_prob=0.7248, runtime_s=7.29

------------------------------------------------------------------------

Candidate Sweeps

GW
calibration sweep:
WX:
WX [selected]: top_k=32, lambda=4, top_site=L3-d63, exact=0.5781, gold prob=0.5786
WX: top_k=1, lambda=0.25, top_site=L3-d63, exact=0.4941, gold prob=0.4941
WX: top_k=1, lambda=0.5, top_site=L3-d63, exact=0.4941, gold prob=0.4941
WX: top_k=1, lambda=0.75, top_site=L3-d63, exact=0.4941, gold prob=0.4941
WX: top_k=1, lambda=1, top_site=L3-d63, exact=0.4941, gold prob=0.4941
WX: top_k=1, lambda=1.25, top_site=L3-d63, exact=0.4941, gold prob=0.4941
WX: top_k=1, lambda=1.5, top_site=L3-d63, exact=0.4941, gold prob=0.4941
WX: top_k=1, lambda=1.75, top_site=L3-d63, exact=0.4941, gold prob=0.4938
WX: top_k=1, lambda=2, top_site=L3-d63, exact=0.4922, gold prob=0.4920
WX: top_k=1, lambda=2.25, top_site=L3-d63, exact=0.4902, gold prob=0.4908
WX: top_k=1, lambda=2.5, top_site=L3-d63, exact=0.4902, gold prob=0.4914
WX: top_k=1, lambda=2.75, top_site=L3-d63, exact=0.4961, gold prob=0.4945
WX: top_k=1, lambda=3, top_site=L3-d63, exact=0.4961, gold prob=0.4961
WX: top_k=1, lambda=3.25, top_site=L3-d63, exact=0.5000, gold prob=0.4971
WX: top_k=1, lambda=3.5, top_site=L3-d63, exact=0.4961, gold prob=0.4977
WX: top_k=1, lambda=3.75, top_site=L3-d63, exact=0.4980, gold prob=0.4994
WX: top_k=1, lambda=4, top_site=L3-d63, exact=0.5020, gold prob=0.5009
WX: top_k=2, lambda=0.25, top_site=L3-d63, exact=0.4941, gold prob=0.4941
WX: top_k=2, lambda=0.5, top_site=L3-d63, exact=0.4941, gold prob=0.4941
WX: top_k=2, lambda=0.75, top_site=L3-d63, exact=0.4941, gold prob=0.4941
WX: top_k=2, lambda=1, top_site=L3-d63, exact=0.4941, gold prob=0.4941
WX: top_k=2, lambda=1.25, top_site=L3-d63, exact=0.4941, gold prob=0.4942
WX: top_k=2, lambda=1.5, top_site=L3-d63, exact=0.4941, gold prob=0.4944
WX: top_k=2, lambda=1.75, top_site=L3-d63, exact=0.4961, gold prob=0.4956
WX: top_k=2, lambda=2, top_site=L3-d63, exact=0.4961, gold prob=0.4956
WX: top_k=2, lambda=2.25, top_site=L3-d63, exact=0.4941, gold prob=0.4947
WX: top_k=2, lambda=2.5, top_site=L3-d63, exact=0.4922, gold prob=0.4927
WX: top_k=2, lambda=2.75, top_site=L3-d63, exact=0.4902, gold prob=0.4909
WX: top_k=2, lambda=3, top_site=L3-d63, exact=0.4902, gold prob=0.4908
WX: top_k=2, lambda=3.25, top_site=L3-d63, exact=0.4902, gold prob=0.4917
